knljdkfl-1	UNASSIGNED
afiggndg-1	cokanngc-1
afhohhnp-1	cojofala-1
afkcckjk-1	aajndcim-1
afollphg-1	cokeblkm-1
afigfglg-1	cokfflao-1
afkmefal-1	cogacebh-1
aflaflng-1	cigapoin-1
aflfhejl-1	aajnpkge-1
afklhecf-1	odjlhede-1
afklmacf-1	cogadeob-1
agaijjfj-1	cofelilo-1
afkpkgaf-1	aamdcanp-1
afkomfcd-1	aamdlfbl-1
aflblomi-1	aalilfnj-1
aflhdfie-1	ciehfhkn-1
afldidmo-1	aajpmfmp-1
afldagol-1	aajpnjkl-1
afnpejhn-1	cigcnhmp-1
aflapjea-1	aakabaca-1
aflcceok-1	aakaclll-1
aflalbdf-1	aakanikb-1
agfmkagl-1	cpcmcklo-1
afhejmcm-1	coejcomn-1
afheeoel-1	coekaoad-1
agaiignk-1	coemmclm-1
afhhppjf-1	cogjkkdc-1
afhjoifc-1	coiomeji-1
afhkebkh-1	aakffkkn-1
agappkbg-1	aakfhian-1
agapedhp-1	aakfhiio-1
afpkfljp-1	aakflbcn-1
afpkjgpc-1	coleglgj-1
afhjobhl-1	aakgdlmo-1
afonhakg-1	aakgdmpg-1
afhjckkk-1	coinfgdm-1
acmflpno-1	cijakaof-1
agfjdpof-1	coiaonai-1
agfkgmlm-1	coiaeibi-1
aggdiclj-1	coiiigii-1
aggdjigl-1	cijaiacm-1
aggcmjno-1	cohoklon-1
aggcimco-1	cijcaifm-1
agfkdfkp-1	coibekkn-1
acnkadpf-1	cicjmkej-1
acogifci-1	aakokpkf-1
acohcbai-1	aaklholj-1
ahdhldoj-1	cmeamdpn-1
acoacgck-1	odjcidhl-1
acnphcmm-1	cmeeehfn-1
acifcclh-1	ciclaoaa-1
acifbmfp-1	cicjmkkd-1
aciioegp-1	aakmomke-1
acnmihbb-1	aaknjgbc-1
acohfbda-1	aaknljaj-1
acnnhami-1	aakohlfj-1
acmgcjmc-1	cijlpili-1
acmgjplm-1	aakpfhoo-1
acjnndgn-1	aakpigjf-1
acjocfne-1	cijkobmc-1
acjglfdf-1	aakpknlf-1
acjojlnh-1	cijlpdpe-1
acmngicm-1	cikabghm-1
acmopech-1	cidkjmlk-1
ackjifih-1	aalcbaie-1
ackkjgli-1	aalcbdee-1
ackipgjb-1	aalcehhg-1
aclfhmji-1	cihkiihp-1
aciamehk-1	aalclgno-1
ackgaonl-1	ciidfoka-1
ackonimk-1	aalcpkap-1
aclaldcm-1	aaldcbmi-1
acmiiimm-1	aaldmbpc-1
ackpiboc-1	aaldmmnf-1
aciaajel-1	aaldofgm-1
ackmjcfa-1	aalegkln-1
acilcmcm-1	aalejcmh-1
acjldkon-1	aalejknm-1
acjgkbfo-1	aalekegp-1
acjhaenn-1	aalelicn-1
acjecifa-1	aalfeapp-1
acjkkhkm-1	copbodmd-1
acjgojmb-1	aalhcdlh-1
acjdikaf-1	copdafal-1
acjehjih-1	copbnpck-1
acjopjbl-1	aalgjdhd-1
acjikabi-1	cijoahng-1
acjgkdnm-1	cijmoima-1
acjfidag-1	ciipndoc-1
afnobcof-1	cijpkmlj-1
agfkhbmf-1	aalimfhb-1
acnblhji-1	aaljfogl-1
acmpbfak-1	aaljoeko-1
adoibmfp-1	odhnklia-1
acnbifeo-1	aalkckki-1
adojdeje-1	ciafndlb-1
agfkjill-1	coibpnil-1
agfiflhd-1	cijpombo-1
afnomnda-1	cikfdbgo-1
adolpoml-1	aalkmfcp-1
afmgbegp-1	aalkoeaf-1
agageelk-1	aalkpdab-1
agaegknp-1	cojdkmde-1
afpplnbn-1	aallbcga-1
afpplmcn-1	aalldplo-1
agageged-1	aalmbbhn-1
agahjmpd-1	colcjolk-1
agahbldj-1	colblpdg-1
afppmecb-1	aalmncmn-1
afpleffd-1	aalmokpf-1
afpmjnpp-1	cojjckpo-1
afpidbfi-1	colakmgm-1
agagkpim-1	colapebl-1
afphbndl-1	aalnjnmc-1
